i_idProducto	s_codigoBarra	dc_pvpSugerido	dt_fechaPVPS
5882	7800001004563	23190.0000	2024-02-13 00:00:00
5883	7800001004570	56390.0000	2024-02-13 00:00:00
5890	7800001304007	29140.0000	2024-02-13 00:00:00
5900	7800001700069	63990.0000	2024-02-13 00:00:00
5901	7800001900209	43650.0000	2024-02-13 00:00:00
5923	7800001540009	2260.0000	2024-02-13 00:00:00
5933	7800059112159	9890.0000	2024-02-13 00:00:00
5934	7800059000661	25890.0000	2024-02-13 00:00:00
5953	7800059143054	17290.0000	2024-02-13 00:00:00
5954	7730698011929	21490.0000	2024-02-13 00:00:00
5973	7800059159055	11290.0000	2024-02-13 00:00:00
5975	7861148021745	10090.0000	2024-02-13 00:00:00
5976	7800059159208	10770.0000	2024-02-13 00:00:00
5978	7800059165100	8290.0000	2024-02-13 00:00:00
5979	7730969300332	4190.0000	2024-02-13 00:00:00
5982	7730698012957	9240.0000	2024-02-13 00:00:00
5984	7800059172054	15780.0000	2024-02-13 00:00:00
5985	7800059175055	11290.0000	2024-02-13 00:00:00
5986	7800059178056	9390.0000	2024-02-13 00:00:00
5989	7730698394046	16290.0000	2024-02-13 00:00:00
5999	7861148020465	6790.0000	2024-02-13 00:00:00
6000	7730698004433	6790.0000	2024-02-13 00:00:00
6003	7730698014852	5890.0000	2024-02-13 00:00:00
6140	7804918401149	8690.0000	2024-02-13 00:00:00
6141	7804918402580	12740.0000	2024-02-13 00:00:00
6149	7804918401040	13090.0000	2024-02-13 00:00:00
6152	7804918400340	3640.0000	2024-02-13 00:00:00
6153	7804918400357	4590.0000	2024-02-13 00:00:00
6156	7804918402047	4790.0000	2024-02-13 00:00:00
6159	7804918500538	9890.0000	2024-02-13 00:00:00
6165	7804918402498	10290.0000	2024-02-13 00:00:00
6166	7804918402313	10290.0000	2024-02-13 00:00:00
6169	7804918400777	5290.0000	2024-02-13 00:00:00
6176	7804918402153	2690.0000	2024-02-13 00:00:00
6177	7804918402108	3250.0000	2024-02-13 00:00:00
6360	3031500311089	15390.0000	2024-02-13 00:00:00
6545	7800026024973	24840.0000	2024-02-13 00:00:00
6547	7800026211014	17290.0000	2024-02-13 00:00:00
6549	7800026000960	10990.0000	2024-02-13 00:00:00
6588	7800026146095	8890.0000	2024-02-13 00:00:00
6589	7800026015261	26290.0000	2024-02-13 00:00:00
6590	7800026019184	37590.0000	2024-02-13 00:00:00
6591	7800026015223	15790.0000	2024-02-13 00:00:00
6592	7800026015278	15790.0000	2024-02-13 00:00:00
6596	7800026011836	20890.0000	2024-02-13 00:00:00
6604	7800026029909	27290.0000	2024-02-13 00:00:00
6605	7800026029022	80590.0000	2024-02-13 00:00:00
6609	7800026024355	16890.0000	2024-02-13 00:00:00
6610	7800026024416	15190.0000	2024-02-13 00:00:00
6611	7800026024409	26290.0000	2024-02-13 00:00:00
6612	7800026024423	23590.0000	2024-02-13 00:00:00
6613	7800026024461	25970.0000	2024-02-13 00:00:00
6618	7800026015650	12590.0000	2024-02-13 00:00:00
6619	7800026015551	10890.0000	2024-02-13 00:00:00
6624	7800026024485	19990.0000	2024-02-13 00:00:00
6626	7800026024539	23490.0000	2024-02-13 00:00:00
6631	7800026003268	8490.0000	2024-02-13 00:00:00
6632	7800026020104	15240.0000	2024-02-13 00:00:00
6635	7800026012086	17690.0000	2024-02-13 00:00:00
6640	7800026065099	9085.0000	2024-02-13 00:00:00
6647	7800026017616	18990.0000	2024-02-13 00:00:00
6648	7800026029626	24390.0000	2024-02-13 00:00:00
6649	7800026001622	16390.0000	2024-02-13 00:00:00
6650	7800026001639	19590.0000	2024-02-13 00:00:00
6668	7800026016053	12490.0000	2024-02-13 00:00:00
6669	7800026016107	11290.0000	2024-02-13 00:00:00
6674	7800026016190	24890.0000	2024-02-13 00:00:00
6676	7800026016183	33690.0000	2024-02-13 00:00:00
6679	7800026030103	18290.0000	2024-02-13 00:00:00
6694	7800026009222	24390.0000	2024-02-13 00:00:00
6710	7800026005446	5790.0000	2024-02-13 00:00:00
6711	7800026004470	10890.0000	2024-02-13 00:00:00
6731	7800026025505	18190.0000	2024-02-13 00:00:00
6732	7800026025499	20190.0000	2024-02-13 00:00:00
6734	7800026002063	24190.0000	2024-02-13 00:00:00
6764	7800026005798	9570.0000	2024-02-13 00:00:00
6770	7800026016558	22590.0000	2024-02-13 00:00:00
6812	7800026020647	5990.0000	2024-02-13 00:00:00
6816	7800026009529	8090.0000	2024-02-13 00:00:00
6817	7800026009604	20390.0000	2024-02-13 00:00:00
6827	7800026009802	11990.0000	2024-02-13 00:00:00
6828	7800026009758	15340.0000	2024-02-13 00:00:00
6830	7800026017319	18590.0000	2024-02-13 00:00:00
6831	7800026017388	19790.0000	2024-02-13 00:00:00
6834	7800026005385	21290.0000	2024-02-13 00:00:00
6835	7800026013311	22990.0000	2024-02-13 00:00:00
6849	7800026026052	28390.0000	2024-02-13 00:00:00
6858	7800026011805	39770.0000	2024-02-13 00:00:00
6867	7800026009994	8090.0000	2024-02-13 00:00:00
