RESPALDO DE PRODUCTOS - 20-04-2026 16:38
Servidor: 192.168.0.100 | Base de datos: dbecosur | Total: 34118 productos
==============================================================================================================
ID       DESCRIPCION                                                         PVP_SUGERIDO EST    CODIGOS_BARRA
30101    A.BAND.BLUE SEDUCTION WOM.50ML+DES.SP.150ML                              $14,990 ACTV   8411061791745|8411061807651
35336    A.BAND.BLUE SEDUCTION WOM.80ML                                           $24,990 ACTV   8411061839669
36616    A.BAND.BLUE SEDUCTION WOM.80ML+DES.SP.150ML                                    - ACTV   8411061876305
37713    A.BAND.BLUE SEDUCTION WOM.DES.SP.150ML                                         - ACTV   163617|8411061636299
15940    A.BAND.BLUE SEDUCTION WOM.SP.100ML                                       $19,990 ACTV   8411061636190
10955    A.BAND.DIAVOLO MEN 100ML                                                 $17,990 ACTV   7807706292981|8411061771907|8411061849330
23128    A.BAND.DIAVOLO MEN 100ML+AF.SH.100ML                                     $12,990 ACTV   8411061290033|8411061634837|8411061768303|8411061787946|8411061833377
39169    A.BAND.DIAVOLO MEN 100ML+AF.SH.75ML                                      $12,990 ACTV   8411061867556
32567    A.BAND.DIAVOLO MEN 100ML+DES.SP.150ML                                    $14,990 ACTV   8411061808528|8411061876459
16567    A.BAND.DIAVOLO MEN 200ML                                                 $21,490 ACTV   8411061583678|8411061715482|8411061849361
11132    A.BAND.DIAVOLO MEN 50ML                                                  $18,890 ACTV   7706210020090|8411061771419|8411061849378
32579    A.BAND.DIAVOLO MEN 50ML+AF.SH.BALM.50ML                                  $10,990 ACTV   8411061808535|8411061834275|8411061876480
39353    A.BAND.DIAVOLO MEN 50ML+AF.SH.BALM.50ML                                  $10,990 ACTV   8411061918548
28432    A.BAND.DIAVOLO MEN 50ML+AUD.BONEZ SL1031                                       - ACTV   021331397720|21331397720
29879    A.BAND.DIAVOLO MEN 50ML+DES.SP.150ML                                      $9,990 ACTV   8411061768310|8411061787465
39283    A.BAND.DIAVOLO MEN 50ML+DES.SP.150ML                                      $9,990 ACTV   8411061919323
28989    A.BAND.DIAVOLO MISTER MEN 100ML                                                - ACTV   8411061765074
33301    A.BAND.HER GOLDEN SECRET 30ML                                             $9,990 ACTV   8411061770818
29297    A.BAND.HER GOLDEN SECRET 50ML                                            $17,990 ACTV   8411061770801
39270    A.BAND.HER GOLDEN SECRET 50ML                                            $17,990 ACTV   8411061948903
37404    A.BAND.HER GOLDEN SECRET 50ML+B/LOTION 50ML                              $15,990 ACTV   8411061876848
29296    A.BAND.HER GOLDEN SECRET 50ML+DES.SP.150ML                               $15,990 ACTV   8411061751466|8411061770863|8411061787618|8411061808122|8411061808146
29298    A.BAND.HER GOLDEN SECRET 80ML                                            $19,990 ACTV   8411061770795
29457    A.BAND.HER GOLDEN SECRET 80ML+B/LOTION 100ML                                   - ACTV   1005818|8411061770849|8411061788073
32553    A.BAND.HER SECRET 50ML+B/LOTION 100ML                                    $15,990 ACTV   8411061808245|8411061834312
28543    A.BAND.HER SECRET SP.30ML                                                 $9,990 ACTV   7807706292714|8411061738016
28165    A.BAND.HER SECRET SP.50ML                                                $17,990 ACTV   8411061738009
28166    A.BAND.HER SECRET SP.80ML                                                $19,990 ACTV   8411061737996
36280    A.BAND.HER SECRET TEMPTATION 50ML                                        $17,990 ACTV   8411061860441
36279    A.BAND.HER SECRET TEMPTATION 80ML                                              - ACTV   8411061860410
35341    A.BAND.IN BLACK COCK.SEDUC.100ML                                               - ACTV   8411061783016
35231    A.BAND.KING SED.ABS.50ML+AFTER BALM 50ML                                 $13,990 ACTV   8411061834862
36092    A.BAND.KING SED.ABSOLUTE 100ML+AF.SH.BALS.75ML                           $19,990 ACTV   8411061868065
